"Story","Title","Result","Date","Stability","Duration (s)"
"GE-1 - Breadcrumbs","VIR-115.01 Verify that the breadcrumb path shows the navigation from the root to the child nodes","ERROR","2017-08-11T14:08:16.138+03:00","0.0","0.07"
"GE-1 - Breadcrumbs","VIR-115.02 Verify that the shopper is moved to the appropriate page after clicking on the breadcrumb node","ERROR","2017-08-11T14:08:16.228+03:00","0.0","0.06"
"GE-1 - Breadcrumbs","VIR-115.03 Verify that the breadcrumb conventions are determined by site taxonomy","PENDING","2017-08-11T14:08:16.430+03:00","0.0","0.0"
"GE-1 - Breadcrumbs","VIR-115.04 Verify that the breadcrumb is shown below main menu","PENDING","2017-08-11T14:08:16.509+03:00","0.0","0.0"
"GE-1 - Breadcrumbs","VIR-115.05 Verify that the opened page's name in breadcrumb is shown as a text","ERROR","2017-08-11T14:08:16.317+03:00","0.0","0.07"
"GE-1 - Breadcrumbs","VIR-115.06 Verify that the breadcrumb nodes are separated by ""/""","PENDING","2017-08-11T14:08:16.628+03:00","0.0","0.0"
"GE-2 - Badges","VIR-116.01 Verify that the badges (logo) is shown for the customer at the header","ERROR","2017-08-11T14:08:16.725+03:00","0.0","0.1"
"GE-2 - Badges","VIR-116.02 Verify that the clicking on badges the system opens the Home page","ERROR","2017-08-11T14:08:16.878+03:00","0.0","0.07"
"GE-3 - Social Links","VIR-117.01 Verify that the social links of the companies social media channels are shown in the footer","ERROR","2017-08-11T14:08:17.044+03:00","0.0","0.06"
"GE-3 - Social Links","VIR-117.02 Verify that the shopper is moved to the appropriate Virco's social media channels after clicking on the social link","ERROR","2017-08-11T14:08:17.139+03:00","0.0","0.09"
"GE-4 - Versign","VIR-118.01 Verify that the Verisign credentials are shown in the footer of the site","ERROR","2017-08-11T14:08:17.291+03:00","0.0","0.06"
"GE-5 - Better Business Bureau","VIR-119.01 Verify that the BBB rating is shown in the footer","ERROR","2017-08-11T14:08:17.441+03:00","0.0","0.05"
"GE-5 - Better Business Bureau","VIR-119.02 Verify that the proper BBB rating is shown to the customer","ERROR","2017-08-11T14:08:17.553+03:00","0.0","0.09"
"GE-6 - Payment Badges","VIR-120.01 Verify that the following accepted payment types are shown to the customer in the footer of the site","ERROR","2017-08-11T14:08:17.904+03:00","0.0","0.22"
"GE-7 - Top Category Navigation","VIR-121.01 Verify that the Main menu has the following categories","ERROR","2017-08-11T14:08:18.250+03:00","0.0","0.05"
"GE-7 - Top Category Navigation","VIR-121.02 Verify that appropriate category page is opened","ERROR","2017-08-11T14:08:18.377+03:00","0.0","0.14"
"GE-9 - Service Level Global Header","VIR-252.01 Verify that the service level is shown to the shopper","PENDING","2017-08-11T14:08:18.623+03:00","0.0","0.0"
"GE-9 - Service Level Global Header","VIR-252.02 Verify that the shopper can change the service level","PENDING","2017-08-11T14:08:18.735+03:00","0.0","0.0"
"GE-9 - Service Level Global Header","VIR-252.03 Verify that proper pricing is reflected from the service level change.","PENDING","2017-08-11T14:08:18.951+03:00","0.0","0.0"
"GE-10 - Order Tracking Page Link","VIR-253.01 Verify that the order tracking link is shown to the shopper near My Account","PENDING","2017-08-11T14:08:15.498+03:00","0.0","0.0"
"GE-10 - Order Tracking Page Link","VIR-253.02 Verify that the tracking information is shown on the new page by clicking on the link","PENDING","2017-08-11T14:08:15.599+03:00","0.0","0.0"
"GE-11 - Privacy Terms Link","VIR-254.01 Verify that the page with terms and conditions is opened after clicking on the privacy terms link at the footer","ERROR","2017-08-11T14:08:15.671+03:00","0.0","0.05"
"GE-12 - Copyright","VIR-255.01 Verify that the virco copyright text ""c 2017 Vicro. All Right Reserved"" is shown at the footer right bottom","ERROR","2017-08-11T14:08:15.728+03:00","0.0","0.08"
"GE-13 - Global Search/Contract","VIR-256.01 Verify that the Search Bar is shown to the shopper from the right header","ERROR","2017-08-11T14:08:15.845+03:00","0.0","0.07"
"GE-13 - Global Search/Contract","VIR-256.02 Verify that the contract is shown next after search bar on the header","PENDING","2017-08-11T14:08:15.946+03:00","0.0","0.0"
"GE-13 - Global Search/Contract","VIR-256.03 Verify that the Search Bar/contract are shown on navigating through the site","ERROR","2017-08-11T14:08:16.053+03:00","0.0","0.06"
"PLD - Global Elements - Footer","VIR-302.01 Verify Shop with confidence at Virco Mfg. Corporation title","ERROR","2017-08-11T14:08:19.111+03:00","0.0","0.05"
"PLD - Global Elements - Footer","VIR-302.02 Verify We accept the following payment types title","ERROR","2017-08-11T14:08:19.311+03:00","0.0","0.06"
"PLD - Global Elements - Footer","VIR-302.03 Verify NEED HELP? 1 800 448 4726 title","ERROR","2017-08-11T14:08:19.467+03:00","0.0","0.08"
"PLD - Global Elements - Footer","VIR-302.04 Verify Follow Us title","ERROR","2017-08-11T14:08:19.657+03:00","0.0","0.04"
