"Story","Title","Result","Date","Stability","Duration (s)"
"PDP-2 - Image Zoom","VIR-140.01 Verify that the customer can use rotating zoom on the product images","ERROR","2017-08-11T14:08:24.145+03:00","0.0","0.06"
"PDP-2 - Image Zoom","VIR-140.02 Verify that the customer can close rotating zoom on the product images","ERROR","2017-08-11T14:08:24.318+03:00","0.0","0.05"
"PDP-3 - Mouse Over","VIR-141.01 Verify that the customer can zoom the product image when hover it","ERROR","2017-08-11T14:08:24.487+03:00","0.0","0.06"
"PDP-13 - Cross-Sell Products","VIR-143.01 Verify that the recommended products are shown to the customer","ERROR","2017-08-11T14:08:22.499+03:00","0.0","0.1"
"PDP-14 - Up-Sell Products","VIR-144.01 Verify that the similar products are shown to the customer","ERROR","2017-08-11T14:08:22.710+03:00","0.0","0.07"
"PDP-14 - Up-Sell Products","VIR-144.02 Verify that the customer can add the similar product to the cart","ERROR","2017-08-11T14:08:22.898+03:00","0.0","0.06"
"PDP-16 - Tools & Assembly Required","VIR-146.01 Verify that ""Assembly Required"" is shown to the customer, if the products requires assembly","ERROR","2017-08-11T14:08:23.252+03:00","0.0","0.09"
"PDP-16 - Tools & Assembly Required","VIR-146.02 Verify that ""Assembly Required"" is not shown to the customer, if the products does not require assembly","ERROR","2017-08-11T14:08:23.411+03:00","0.0","0.06"
"PDP-10 - Configurations","VIR-267.01 Verify that the following information is shown at the slot 3","ERROR","2017-08-11T14:08:21.305+03:00","0.0","0.12"
"PDP-12 - Add/Remove PDP","VIR-268.01 Verify that the customer can select the quantity of items before adding to the cart on the product details page","ERROR","2017-08-11T14:08:21.834+03:00","0.0","0.12"
"PDP-12 - Add/Remove PDP","VIR-268.02 Verify that the customer can add quantity by dropdown","ERROR","2017-08-11T14:08:21.974+03:00","0.0","0.12"
"PDP-12 - Add/Remove PDP","VIR-268.03 Verify that the customer can add the quantity manually","ERROR","2017-08-11T14:08:22.115+03:00","0.0","0.05"
"PDP-12 - Add/Remove PDP","VIR-268.04 Verify that the quantity is automatically moved to 1 if customer enters 0","ERROR","2017-08-11T14:08:22.212+03:00","0.0","0.07"
"PDP-12 - Add/Remove PDP","VIR-268.05 Verify that the customer is not able to add more items than 9,999 in one order","ERROR","2017-08-11T14:08:22.323+03:00","0.0","0.13"
"PDP-14 - Up-Sell Products","VIR-483 Missing product price in Up/Cross sell pop-up","ERROR","2017-08-11T14:08:22.990+03:00","0.0","0.09"
