"Story","Title","Result","Date","Stability","Duration (s)"
"CART-2 - Cart Data","VIR-319.01 Verify that the items have the following information shown additionally at the shopping cart","ERROR","2017-08-11T14:08:27.896+03:00","0.0","0.04"
"CART-2 - Cart Data","VIR-319.02 Verify that the shown data is valid","ERROR","2017-08-11T14:08:27.953+03:00","0.0","0.04"
"CART-3 - Product Links","VIR-320.01 Verify that the link to the added product to the cart is shown to the shopper on the cart page","ERROR","2017-08-11T14:08:28.014+03:00","0.0","0.06"
"CART-3 - Product Links","VIR-320.02 Verify that clicking on the link the shopper is moved to the product page","ERROR","2017-08-11T14:08:28.097+03:00","0.0","0.06"
"CART-3 - Product Links","VIR-320.03 Verify that the shopper can continue the shopping by clicking on Continue Shopping page","ERROR","2017-08-11T14:08:28.171+03:00","0.0","0.05"
"CART-3 - Product Links","VIR-320.04 Verify that the shopper is moved to the last product page which was viewed","ERROR","2017-08-11T14:08:28.257+03:00","0.0","0.06"
"CART-4 - Delete SKU","VIR-321.01 Verify that the delete button is shown per each record from the cart","ERROR","2017-08-11T14:08:28.355+03:00","0.0","0.06"
"CART-4 - Delete SKU","VIR-321.02 Verify that the deleted record is removed from the cart and total is recalculated appropriately","ERROR","2017-08-11T14:08:28.468+03:00","0.0","0.08"
"CART-4 - Delete SKU","VIR-321.03 Verify that the recalculated total is shown at the mini cart on the Cart badge","ERROR","2017-08-11T14:08:28.585+03:00","0.0","0.07"
"CART-9 - Cart Quantity","VIR-325.01 Verify that the total quantity of items are shown on the cart","ERROR","2017-08-11T14:08:28.697+03:00","0.0","0.07"
"CART-9 - Cart Quantity","VIR-325.02 Verify that the quantity is based on the item level","ERROR","2017-08-11T14:08:28.818+03:00","0.0","0.1"
"CART-10 - Mini-Cart","VIR-326.01 Verify that the last 5 line items from the cart is shown to the customer if they hover the cart icon","ERROR","2017-08-11T14:08:27.566+03:00","0.0","0.08"
"CART-10 - Mini-Cart","VIR-326.02 Verify that the Cart is shown if click Checkout","ERROR","2017-08-11T14:08:27.662+03:00","0.0","0.06"
"CART-10 - Mini-Cart","VIR-326.03 Verify that the Cart Mini is closed if click Continue Shopping","ERROR","2017-08-11T14:08:27.724+03:00","0.0","0.05"
"CART-10 - Mini-Cart","VIR-326.04 Verify that the following information is shown for the line items","SUCCESS","2017-08-11T14:08:27.780+03:00","0.0","0.0"
