"Story","Title","Result","Date","Stability","Duration (s)"
"GE-1 - Breadcrumbs","VIR-115.03 Verify that the breadcrumb conventions are determined by site taxonomy","PENDING","2017-08-11T14:08:16.430+03:00","0.0","0.0"
"GE-1 - Breadcrumbs","VIR-115.04 Verify that the breadcrumb is shown below main menu","PENDING","2017-08-11T14:08:16.509+03:00","0.0","0.0"
"GE-1 - Breadcrumbs","VIR-115.06 Verify that the breadcrumb nodes are separated by ""/""","PENDING","2017-08-11T14:08:16.628+03:00","0.0","0.0"
"CNT-1 - WCMS Site Maintenance","VIR-128.01 Verify that the OOTB Hybris is configured","PENDING","2017-08-11T14:08:03.395+03:00","0.0","0.0"
"GE-13 - Global Search/Contract","VIR-256.02 Verify that the contract is shown next after search bar on the header","PENDING","2017-08-11T14:08:15.946+03:00","0.0","0.0"
"CMP-7 - School Consistency","VIR-274.02 Verify that the color and category availability for the school can be managed via impex","PENDING","2017-08-11T14:08:02.711+03:00","0.0","0.0"
"PRD-1 - Product Import","VIR-275.01 Verify that the Product Admin can import products","PENDING","2017-08-11T14:08:26.489+03:00","0.0","0.0"
"PRD-1 - Product Import","VIR-275.02 Verify that the Product Admin can import category pricing","PENDING","2017-08-11T14:08:26.546+03:00","0.0","0.0"
"PRD-2 - Product Groupings","VIR-276.01 Verify that the Product Admin can configure the following product attribute for each item","PENDING","2017-08-11T14:08:26.643+03:00","0.0","0.0"
"PRD-2 - Product Groupings","VIR-276.02 Verify that the Product Admin can publish the changes to the site to be shown to the shopper","PENDING","2017-08-11T14:08:26.707+03:00","0.0","0.0"
"PRD-2 - Product Groupings","VIR-276.03 Verify that the published changes are shown to the shopper","PENDING","2017-08-11T14:08:26.755+03:00","0.0","0.0"
