"Story","Title","Result","Date","Stability","Duration (s)"
"Smoke Check List","Preconditions for PIM tests","ERROR","2017-08-11T14:08:29.236+03:00","0.0","0.08"
"Smoke Check List","SMOKE1.01 Verify that cmsmanager can login to the CMS","ERROR","2017-08-11T14:08:29.537+03:00","0.0","0.07"
"Smoke Check List","SMOKE1.02 Verify that cmsmanager can change the page view","ERROR","2017-08-11T14:08:29.622+03:00","0.0","0.08"
"Smoke Check List","SMOKE1.03 Verify that cmsmanager can logout from CMS","ERROR","2017-08-11T14:08:29.725+03:00","0.0","0.04"
"Smoke Check List","SMOKE1.04 Verify that productmanager can login to the PIM","ERROR","2017-08-11T14:08:29.105+03:00","0.0","0.1"
"Smoke Check List","SMOKE1.05-06 Verify that productmanager can change product description","ERROR","2017-08-11T14:08:29.329+03:00","0.0","0.06"
"Smoke Check List","SMOKE1.07 Verify that productmanager can logout from PIM","ERROR","2017-08-11T14:08:29.473+03:00","0.0","0.05"
"Smoke Check List","SMOKE1.08 Verify that user can open storefront","ERROR","2017-08-11T14:08:29.784+03:00","0.0","0.06"
"Smoke Check List","SMOKE1.09 Verify that user can login to the storefront","ERROR","2017-08-11T14:08:29.910+03:00","0.0","0.05"
"Smoke Check List","SMOKE1.10 Verify the changes at the page from step SMOKE1.02","ERROR","2017-08-11T14:08:29.980+03:00","0.0","0.05"
"Smoke Check List","SMOKE1.11 Verify the changes of the product from step Scenario","ERROR","2017-08-11T14:08:29.402+03:00","0.0","0.06"
"Smoke Check List","SMOKE1.12 Verify that product can be added to the cart","ERROR","2017-08-11T14:08:30.059+03:00","0.0","0.07"
"Smoke Check List","SMOKE1.13 Verify that customer can create the order","ERROR","2017-08-11T14:08:30.155+03:00","0.0","0.06"
"Smoke Check List","SMOKE1.14 Verify that shopper can logout from the storefront","ERROR","2017-08-11T14:08:30.263+03:00","0.0","0.1"
"Smoke Check List","SMOKE1.15 Verify that admin can login to the Backoffice","ERROR","2017-08-11T14:08:30.402+03:00","0.0","0.12"
"Smoke Check List","SMOKE1.16 Verify the created order from step SMOKE1.13 in backoffice","ERROR","2017-08-11T14:08:30.546+03:00","0.0","0.04"
"Smoke Check List","SMOKE1.17 Verify that admin can logout from the backoffice","ERROR","2017-08-11T14:08:30.618+03:00","0.0","0.08"
"Smoke Check List","SMOKE1.18 Delete test data/changes created on steps 2, 5, 15","ERROR","2017-08-11T14:08:30.740+03:00","0.0","0.06"
"GE-1 - Breadcrumbs","VIR-115.01 Verify that the breadcrumb path shows the navigation from the root to the child nodes","ERROR","2017-08-11T14:08:16.138+03:00","0.0","0.07"
"GE-1 - Breadcrumbs","VIR-115.02 Verify that the shopper is moved to the appropriate page after clicking on the breadcrumb node","ERROR","2017-08-11T14:08:16.228+03:00","0.0","0.06"
"GE-1 - Breadcrumbs","VIR-115.03 Verify that the breadcrumb conventions are determined by site taxonomy","PENDING","2017-08-11T14:08:16.430+03:00","0.0","0.0"
"GE-1 - Breadcrumbs","VIR-115.04 Verify that the breadcrumb is shown below main menu","PENDING","2017-08-11T14:08:16.509+03:00","0.0","0.0"
"GE-1 - Breadcrumbs","VIR-115.05 Verify that the opened page's name in breadcrumb is shown as a text","ERROR","2017-08-11T14:08:16.317+03:00","0.0","0.07"
"GE-1 - Breadcrumbs","VIR-115.06 Verify that the breadcrumb nodes are separated by ""/""","PENDING","2017-08-11T14:08:16.628+03:00","0.0","0.0"
"GE-2 - Badges","VIR-116.01 Verify that the badges (logo) is shown for the customer at the header","ERROR","2017-08-11T14:08:16.725+03:00","0.0","0.1"
"GE-2 - Badges","VIR-116.02 Verify that the clicking on badges the system opens the Home page","ERROR","2017-08-11T14:08:16.878+03:00","0.0","0.07"
"GE-3 - Social Links","VIR-117.01 Verify that the social links of the companies social media channels are shown in the footer","ERROR","2017-08-11T14:08:17.044+03:00","0.0","0.06"
"GE-3 - Social Links","VIR-117.02 Verify that the shopper is moved to the appropriate Virco's social media channels after clicking on the social link","ERROR","2017-08-11T14:08:17.139+03:00","0.0","0.09"
"GE-4 - Versign","VIR-118.01 Verify that the Verisign credentials are shown in the footer of the site","ERROR","2017-08-11T14:08:17.291+03:00","0.0","0.06"
"GE-5 - Better Business Bureau","VIR-119.01 Verify that the BBB rating is shown in the footer","ERROR","2017-08-11T14:08:17.441+03:00","0.0","0.05"
