"Story","Title","Result","Date","Stability","Duration (s)"
"GE-1 - Breadcrumbs","VIR-115.01 Verify that the breadcrumb path shows the navigation from the root to the child nodes","ERROR","2017-08-11T14:08:16.138+03:00","0.0","0.07"
"GE-1 - Breadcrumbs","VIR-115.02 Verify that the shopper is moved to the appropriate page after clicking on the breadcrumb node","ERROR","2017-08-11T14:08:16.228+03:00","0.0","0.06"
"GE-1 - Breadcrumbs","VIR-115.05 Verify that the opened page's name in breadcrumb is shown as a text","ERROR","2017-08-11T14:08:16.317+03:00","0.0","0.07"
"GE-2 - Badges","VIR-116.01 Verify that the badges (logo) is shown for the customer at the header","ERROR","2017-08-11T14:08:16.725+03:00","0.0","0.1"
"GE-2 - Badges","VIR-116.02 Verify that the clicking on badges the system opens the Home page","ERROR","2017-08-11T14:08:16.878+03:00","0.0","0.07"
"GE-3 - Social Links","VIR-117.01 Verify that the social links of the companies social media channels are shown in the footer","ERROR","2017-08-11T14:08:17.044+03:00","0.0","0.06"
"GE-3 - Social Links","VIR-117.02 Verify that the shopper is moved to the appropriate Virco's social media channels after clicking on the social link","ERROR","2017-08-11T14:08:17.139+03:00","0.0","0.09"
"GE-4 - Versign","VIR-118.01 Verify that the Verisign credentials are shown in the footer of the site","ERROR","2017-08-11T14:08:17.291+03:00","0.0","0.06"
"GE-5 - Better Business Bureau","VIR-119.01 Verify that the BBB rating is shown in the footer","ERROR","2017-08-11T14:08:17.441+03:00","0.0","0.05"
"GE-5 - Better Business Bureau","VIR-119.02 Verify that the proper BBB rating is shown to the customer","ERROR","2017-08-11T14:08:17.553+03:00","0.0","0.09"
"GE-6 - Payment Badges","VIR-120.01 Verify that the following accepted payment types are shown to the customer in the footer of the site","ERROR","2017-08-11T14:08:17.904+03:00","0.0","0.22"
"GE-7 - Top Category Navigation","VIR-121.01 Verify that the Main menu has the following categories","ERROR","2017-08-11T14:08:18.250+03:00","0.0","0.05"
"GE-7 - Top Category Navigation","VIR-121.02 Verify that appropriate category page is opened","ERROR","2017-08-11T14:08:18.377+03:00","0.0","0.14"
"CNT-4 - Security Compliance","VIR-131.02 Verify that the content Admin can delete terms, security and compliance","ERROR","2017-08-11T14:08:06.287+03:00","0.0","0.14"
"CNT-4 - Security Compliance","VIR-131.03 Verify that the content Admin can add terms, security and compliance","ERROR","2017-08-11T14:08:06.526+03:00","0.0","0.11"
"CNT-4 - Security Compliance","VIR-131.04 Verify that the content Admin can edit terms, security and compliance","ERROR","2017-08-11T14:08:06.728+03:00","0.0","0.21"
"CNT-4 - Security Compliance","VIR-131.05 Return changes","ERROR","2017-08-11T14:08:07.068+03:00","0.0","0.64"
"CNT-6 - Content Slots","VIR-133.01 Verify that the content admin can delete the banner, title and categories through the WCMS","ERROR","2017-08-11T14:08:10.271+03:00","0.0","0.22"
"CNT-6 - Content Slots","VIR-133.02 Verify that the content admin can add the banner, title and categories through the WCMS","ERROR","2017-08-11T14:08:10.642+03:00","0.0","0.25"
"CNT-6 - Content Slots","VIR-133.03 Verify that the content admin can edit the banner, title and categories through the WCMS","ERROR","2017-08-11T14:08:10.999+03:00","0.0","0.19"
"CNT-6 - Content Slots","VIR-133.04 Verify that the Banner is shown to the shopper on the home page","ERROR","2017-08-11T14:08:11.355+03:00","0.0","0.29"
"CNT-6 - Content Slots","VIR-133.05 Verify that the text is overlaid on the banner","ERROR","2017-08-11T14:08:11.707+03:00","0.0","0.17"
"CNT-6 - Content Slots","VIR-133.06 Verify that the Page title ""Products by Category"" is shown to the shopper","ERROR","2017-08-11T14:08:12.000+03:00","0.0","0.15"
"CNT-6 - Content Slots","VIR-133.07 Verify that the following page categories are shown","ERROR","2017-08-11T14:08:12.247+03:00","0.0","0.07"
