"Story","Title","Result","Date","Stability","Duration (s)"
"CAT-3 - Pagination","VIR-138.01 Verify that the pagination is shown above and below the list of products","ERROR","2017-08-11T14:07:40.187+03:00","0.0","0.44"
"CAT-3 - Pagination","VIR-138.02 Verify that the pagination is suppressed, if only one page of products exist","ERROR","2017-08-11T14:07:41.106+03:00","0.0","0.48"
"CAT-3 - Pagination","VIR-138.03 Verify that the last page is shown when customer enters the page number that is bigger than the existed one","ERROR","2017-08-11T14:07:41.632+03:00","0.0","0.38"
"CAT-3 - Pagination","VIR-138.04 Verity that the first page is shown when customer enters the 0","ERROR","2017-08-11T14:07:42.119+03:00","0.0","0.41"
"CAT-3 - Pagination","VIR-138.05 Verify that any other data can't be entered except integer","ERROR","2017-08-11T14:07:42.601+03:00","0.0","0.14"
"CAT-3 - Pagination","VIR-138.06 Verify that any other data can't be entered except integer using context paste","ERROR","2017-08-11T14:07:42.798+03:00","0.0","0.47"
"CAT-3 - Pagination","VIR-138.07 Verify that the sorting/filtering is not cleared while navigating through the pages in the current way","ERROR","2017-08-11T14:07:43.501+03:00","0.0","0.26"
"CAT-3 - Pagination","VIR-138.08 Verify that the customer is able to enter the page number to navigate into it on the Category page","ERROR","2017-08-11T14:07:43.823+03:00","0.0","0.16"
"CAT-3 - Pagination","VIR-138.09 Verify that the customer is able to enter the page number to navigate into it on the Search result page","ERROR","2017-08-11T14:07:44.202+03:00","0.0","0.23"
"CAT-3 - Pagination","VIR-592.01 Verify that the pagination is shown above and below the list of products on search page","ERROR","2017-08-11T14:07:40.674+03:00","0.0","0.26"
