"Story","Title","Result","Date","Stability","Duration (s)"
"ACT-8 - Support Tickets","VIR-233.01 Verify that the customer is able to open the Support Ticket form within My Account","PENDING","2017-08-11T14:07:29.688+03:00","0.0","0.0"
"ACT-8 - Support Tickets","VIR-233.02 Verify that the Support Ticket form has the following fields","PENDING","2017-08-11T14:07:30.199+03:00","0.0","0.0"
"ACT-8 - Support Tickets","VIR-233.03 Verify the fields validation rules.","PENDING","2017-08-11T14:07:30.670+03:00","0.0","0.0"
"ACT-8 - Support Tickets","VIR-233.04 Verify that Support Ticket creating can be canceled","PENDING","2017-08-11T14:07:31.265+03:00","0.0","0.0"
"ACT-8 - Support Tickets","VIR-233.05  Verify that the following info is sent to the CRM after creating the Support Ticket","PENDING","2017-08-11T14:07:31.808+03:00","0.0","0.0"
"ACT-8 - Support Tickets","VIR-233.06 Verify that the email is sent by the shopper to the reviewer","PENDING","2017-08-11T14:07:32.434+03:00","0.0","0.0"
"ACT-8 - Support Tickets","VIR-233.07 Verify the email (email comp) shows appropriate information","PENDING","2017-08-11T14:07:32.974+03:00","0.0","0.0"
"ACT-8 - Support Tickets","VIR-233.08 Verify that the ticket is routed to the CSR to review","PENDING","2017-08-11T14:07:33.536+03:00","0.0","0.0"
"ACT-8 - Support Tickets","VIR-233.09 Verify that the shopper can see the support tickets created by them","PENDING","2017-08-11T14:07:34.010+03:00","0.0","0.0"
"ACT-8 - Support Tickets","VIR-233.10 Verify that the shopper can see the status of the support ticket within ticket history.","PENDING","2017-08-11T14:07:34.620+03:00","0.0","0.0"
"ACT-8 - Support Tickets","VIR-233.11  Verify that the following information is shown for the ticket within ticket history","PENDING","2017-08-11T14:07:35.133+03:00","0.0","0.0"
