"Story","Title","Result","Date","Stability","Duration (s)"
"CAT-1 - Grid/List View Toggle","VIR-137.01 Verify that the toggle button is shown above the products","ERROR","2017-08-11T14:07:37.866+03:00","0.0","0.38"
"CAT-1 - Grid/List View Toggle","VIR-137.02 Verify that the customer can switch the view of products into grid, list","ERROR","2017-08-11T14:07:38.259+03:00","0.0","0.16"
"CAT-1 - Grid/List View Toggle","VIR-137.03 Verify that in the grid view the following product info is shown","ERROR","2017-08-11T14:07:38.595+03:00","0.0","0.32"
"CAT-1 - Grid/List View Toggle","VIR-137.04 Verify that in the List view the following info is shown","ERROR","2017-08-11T14:07:38.946+03:00","0.0","0.27"
"CAT-1 - Grid/List View Toggle","VIR-137.05 Verify that the list of products is the same in both views","ERROR","2017-08-11T14:07:39.263+03:00","0.0","0.28"
"CAT-3 - Pagination","VIR-138.01 Verify that the pagination is shown above and below the list of products","ERROR","2017-08-11T14:07:40.187+03:00","0.0","0.44"
"CAT-3 - Pagination","VIR-138.02 Verify that the pagination is suppressed, if only one page of products exist","ERROR","2017-08-11T14:07:41.106+03:00","0.0","0.48"
"CAT-3 - Pagination","VIR-138.03 Verify that the last page is shown when customer enters the page number that is bigger than the existed one","ERROR","2017-08-11T14:07:41.632+03:00","0.0","0.38"
"CAT-3 - Pagination","VIR-138.04 Verity that the first page is shown when customer enters the 0","ERROR","2017-08-11T14:07:42.119+03:00","0.0","0.41"
"CAT-3 - Pagination","VIR-138.05 Verify that any other data can't be entered except integer","ERROR","2017-08-11T14:07:42.601+03:00","0.0","0.14"
"CAT-3 - Pagination","VIR-138.06 Verify that any other data can't be entered except integer using context paste","ERROR","2017-08-11T14:07:42.798+03:00","0.0","0.47"
"CAT-3 - Pagination","VIR-138.07 Verify that the sorting/filtering is not cleared while navigating through the pages in the current way","ERROR","2017-08-11T14:07:43.501+03:00","0.0","0.26"
"CAT-3 - Pagination","VIR-138.08 Verify that the customer is able to enter the page number to navigate into it on the Category page","ERROR","2017-08-11T14:07:43.823+03:00","0.0","0.16"
"CAT-3 - Pagination","VIR-138.09 Verify that the customer is able to enter the page number to navigate into it on the Search result page","ERROR","2017-08-11T14:07:44.202+03:00","0.0","0.23"
"CAT-4 - Page Navigation","VIR-139.01 Verify that the first/last/next pages are shown above and below the list of products","ERROR","2017-08-11T14:07:44.504+03:00","0.0","0.17"
"CAT-4 - Page Navigation","VIR-139.02 Verify that the customer is able to navigate through the previous, next, last pages on Category page","ERROR","2017-08-11T14:07:44.786+03:00","0.0","0.2"
"CAT-4 - Page Navigation","VIR-139.03 Verify that the customer is able to navigate through the previous, next, last pages on Search result page","ERROR","2017-08-11T14:07:45.049+03:00","0.0","0.27"
"CAT-4 - Page Navigation","VIR-139.04 Verify that the previous/ first page is disabled, when customer is on the first pages for Category page","ERROR","2017-08-11T14:07:45.392+03:00","0.0","0.13"
"CAT-4 - Page Navigation","VIR-139.05 Verify that the previous/ first page is disabled, when customer is on the first pages for Search result page","ERROR","2017-08-11T14:07:45.600+03:00","0.0","0.08"
"CAT-4 - Page Navigation","VIR-139.06 Verify that the next/last page button is disabled, when customer is on the last pages for Category page","ERROR","2017-08-11T14:07:45.762+03:00","0.0","0.1"
"CAT-4 - Page Navigation","VIR-139.07 Verify that the next/last page button is disabled when customer is on the last page for Search result page","ERROR","2017-08-11T14:07:45.917+03:00","0.0","0.13"
"CAT-5 - Category Navigation","VIR-151.01 Verify that the ""Top"" button flows from the centered middle to the bottom on moving/scrolling the page","ERROR","2017-08-11T14:07:46.101+03:00","0.0","0.12"
"CAT-5 - Category Navigation","VIR-151.02 Verify that the ""Top"" button is shown to the user when they scroll down and menu is not visible","ERROR","2017-08-11T14:07:46.315+03:00","0.0","0.08"
"CAT-5 - Category Navigation","VIR-151.03 Verify that ""Top"" button moves user to the top of the page","ERROR","2017-08-11T14:07:46.498+03:00","0.0","0.07"
"CAT-5 - Category Navigation","VIR-151.04 Verify that the ""Top"" button is shown to the user on the Category page","ERROR","2017-08-11T14:07:46.697+03:00","0.0","0.07"
"CAT-5 - Category Navigation","VIR-151.05 Verify that the ""Top"" button is shown to the user on the Search result page","SKIPPED","2017-08-11T14:07:46.922+03:00","0.0","10.5"
"CAT-2 - Numeration Display","VIR-251.01 Verify that the amount of products per opened page is shown","PENDING","2017-08-11T14:07:39.597+03:00","0.0","0.0"
"CAT-2 - Numeration Display","VIR-251.02 Verify that the 20 products are shown per page","PENDING","2017-08-11T14:07:39.838+03:00","0.0","0.0"
"CAT-2 - Numeration Display","VIR-251.03 Verify that the last page shows the appropriate number of items","PENDING","2017-08-11T14:07:39.935+03:00","0.0","0.0"
"CAT-3 - Pagination","VIR-592.01 Verify that the pagination is shown above and below the list of products on search page","ERROR","2017-08-11T14:07:40.674+03:00","0.0","0.26"
"CAT-1 - Grid/List View Toggle","VIR-790.01 Verify that the customer can switch the view of products into grid, list on search page","ERROR","2017-08-11T14:07:38.433+03:00","0.0","0.15"
