"Story","Title","Result","Date","Stability","Duration (s)"
"CNT-2 - Component Maintenance","VIR-129.01 Verify that the content admin can add a rotating theme by using template","PENDING","2017-08-11T14:08:03.502+03:00","0.0","0.0"
"CNT-2 - Component Maintenance","VIR-129.02 Verify that the content admin can promo message by using template","PENDING","2017-08-11T14:08:03.638+03:00","0.0","0.0"
"CNT-2 - Component Maintenance","VIR-129.03 Verify that the content admin can add installation slot by using template","PENDING","2017-08-11T14:08:03.727+03:00","0.0","0.0"
"CNT-2 - Component Maintenance","VIR-129.04 Verify that the content admin can add a product recommendation component on the page template by using template","PENDING","2017-08-11T14:08:03.830+03:00","0.0","0.0"
"CNT-2 - Component Maintenance","VIR-129.05 Verify that the content admin can add a quick ship component on the template page","PENDING","2017-08-11T14:08:03.901+03:00","0.0","0.0"
"CNT-2 - Component Maintenance","VIR-129.06 Verify that the content admin can add a popular category on the template page","PENDING","2017-08-11T14:08:03.967+03:00","0.0","0.0"
"CNT-2 - Component Maintenance","VIR-129.07 Verify that the content admin can add a product images component on the template page","PENDING","2017-08-11T14:08:04.034+03:00","0.0","0.0"
"CNT-2 - Component Maintenance","VIR-129.08 Verify that the content admin can edit promo message/popular category.","PENDING","2017-08-11T14:08:04.091+03:00","0.0","0.0"
"CNT-2 - Component Maintenance","VIR-129.09 Verify that the content admin can delete promo message/popular category.","PENDING","2017-08-11T14:08:04.201+03:00","0.0","0.0"
"CNT-2 - Component Maintenance","VIR-129.10 Verify that the site has a look, configured by content admin","PENDING","2017-08-11T14:08:04.354+03:00","0.0","0.0"
"CNT-2 - Component Maintenance","VIR-166.01 Verify the rotating carousel is added on the home page","ERROR","2017-08-11T14:08:04.451+03:00","0.0","0.05"
"CNT-2 - Component Maintenance","VIR-166.02 Verify that the each Banner has Rotating Theme, promotional message and installation slots","ERROR","2017-08-11T14:08:04.523+03:00","0.0","0.08"
"CNT-2 - Component Maintenance","VIR-166.03 Verify that the changes applied to the home page on the WCMS are shown on the site","ERROR","2017-08-11T14:08:04.623+03:00","0.0","0.13"
"CNT-2 - Component Maintenance","VIR-166.04 Verify changes on the site","ERROR","2017-08-11T14:08:04.828+03:00","0.0","0.12"
"CNT-2 - Component Maintenance","VIR-166.04 Verify installation slot","SUCCESS","2017-08-11T14:08:05.015+03:00","0.0","0.0"
"CNT-2 - Component Maintenance","VIR-166.06 Return changes for carousel","ERROR","2017-08-11T14:08:05.175+03:00","0.0","0.17"
